molregno	description	helm_notation	pref_name	chembl_id	structure_type	molecule_type	oral	withdrawn_flag
151440	NULL	PEPTIDE1{[ac].[Nle].D.H.F.R}|PEPTIDE2{[X2440].[dK].[am]}$PEPTIDE1,PEPTIDE2,6:R2-1:R1|PEPTIDE2,PEPTIDE1,2:R3-3:R3$$$	NULL	CHEMBL319752	BOTH	Protein	0	0
152210	NULL	PEPTIDE1{K.R.G.G.G.S.P.F}$$$$	NULL	CHEMBL406554	BOTH	Protein	0	0
152211	NULL	PEPTIDE1{K.R.G.[X16].G.S.P.F}$$$$	NULL	CHEMBL431264	BOTH	Protein	0	0
152212	NULL	PEPTIDE1{K.R.G.[X473].G.S.P.F}$$$$	NULL	CHEMBL329578	BOTH	Protein	0	0
152730	NULL	PEPTIDE1{[Cbz_dF].[dP].[dL].[dA]}$$$$	NULL	CHEMBL91805	BOTH	Protein	0	0
152788	NULL	PEPTIDE1{K.R.[X121].S.P.F}$$$$	NULL	CHEMBL96398	BOTH	Protein	0	0
152867	NULL	PEPTIDE1{K.R.G.[X1373].G.S.P.F}$$$$	NULL	CHEMBL96119	BOTH	Protein	0	0
152973	NULL	PEPTIDE1{K.R.G.[X121].G.S.P.F}$$$$	NULL	CHEMBL313869	BOTH	Protein	0	0
153003	NULL	PEPTIDE1{[Boc_W].[Nle].D.[am]}$$$$	NULL	CHEMBL262692	BOTH	Protein	0	0
153004	NULL	PEPTIDE1{[Boc_W].A.D.[am]}$$$$	NULL	CHEMBL94615	BOTH	Protein	0	0
153038	NULL	PEPTIDE1{K.R.G.[X1].G.S.P.F}$$$$	NULL	CHEMBL318524	BOTH	Protein	0	0
153149	NULL	PEPTIDE1{[Boc_W].L.[dD].[am]}$$$$	NULL	CHEMBL330142	BOTH	Protein	0	0
153150	NULL	PEPTIDE1{[Boc_W].L.D}$$$$	NULL	CHEMBL318221	BOTH	Protein	0	0
153200	NULL	PEPTIDE1{[ac].W.A.[Aib].[Aib].L.[Aib].Q.[Aib].[Aib].[Aib].Q.L.[Aib].Q}$$$$	NULL	CHEMBL442311	BOTH	Protein	0	0
153347	NULL	PEPTIDE1{[Boc_W].L.A.[am]}$$$$	NULL	CHEMBL329524	BOTH	Protein	0	0
153348	NULL	PEPTIDE1{[Boc_W].L.E.[am]}$$$$	NULL	CHEMBL96681	BOTH	Protein	0	0
153358	NULL	PEPTIDE1{R.P.K.[dP].[dQ].[dQ].F.F.G.L.M}$$$$	NULL	CHEMBL262227	BOTH	Protein	0	0
153395	NULL	PEPTIDE1{R.[dP].K.P.[dQ].Q.F.F.G.[dL].M}$$$$	NULL	CHEMBL216230	BOTH	Protein	0	0
153396	NULL	PEPTIDE1{R.P.K.P.Q.Q.[dF].F.G.[dL].M}$$$$	NULL	CHEMBL261998	BOTH	Protein	0	0
153398	NULL	PEPTIDE1{R.P.[dK].P.[dQ].Q.[dF].F.G.L.M}$$$$	NULL	CHEMBL438090	BOTH	Protein	0	0
153405	NULL	PEPTIDE1{[dR].[dP].[dK].[dP].Q.[dQ].F.F.G.[dL].M}$$$$	NULL	CHEMBL437244	BOTH	Protein	0	0
153445	NULL	PEPTIDE1{[Boc_W].F.D.[am]}$$$$	NULL	CHEMBL91765	BOTH	Protein	0	0
153448	NULL	PEPTIDE1{[Boc_W].G.D.[am]}$$$$	NULL	CHEMBL328055	BOTH	Protein	0	0
153493	NULL	PEPTIDE1{[Boc_A].W.M.D.[am]}$$$$	NULL	CHEMBL328512	BOTH	Protein	0	0
153494	NULL	PEPTIDE1{[Cbz_W].L.D.[am]}$$$$	NULL	CHEMBL94917	BOTH	Protein	0	0
153495	NULL	PEPTIDE1{[Boc_W].P.D.[am]}$$$$	NULL	CHEMBL95063	BOTH	Protein	0	0
153518	NULL	PEPTIDE1{[ac].W.A.[Aib].[Aib].L.[Aib].Q.[Aib].[Aib].[Aib].Q.L.[Aib].Q.L}$$$$	NULL	CHEMBL410346	BOTH	Protein	0	0
153543	NULL	PEPTIDE1{[ac].W.A.[Aib].[Aib].L.[Aib].Q.[Aib].[Aib].[Aib].Q.L.[Aib].Q.L.[am]}$$$$	NULL	CHEMBL410395	BOTH	Protein	0	0
153565	NULL	PEPTIDE1{[Boc_A].W.[Nle].D.[am]}$$$$	NULL	CHEMBL91752	BOTH	Protein	0	0
153566	NULL	PEPTIDE1{[Boc_A].W.L.D.[am]}$$$$	NULL	CHEMBL96946	BOTH	Protein	0	0
153662	NULL	PEPTIDE1{[Boc_A].W.L.N}$$$$	NULL	CHEMBL94448	BOTH	Protein	0	0
153663	NULL	PEPTIDE1{[Boc_W].L.N}$$$$	NULL	CHEMBL94902	BOTH	Protein	0	0
153708	NULL	PEPTIDE1{[dR].[dP].K.[dP].Q.Q.[dF].[dF].G.[dL].M}$$$$	NULL	CHEMBL411543	BOTH	Protein	0	0
153709	NULL	PEPTIDE1{R.[dP].[dK].P.Q.[dQ].[dF].[dF].G.[dL].M}$$$$	NULL	CHEMBL407230	BOTH	Protein	0	0
153710	NULL	PEPTIDE1{[dR].P.[dK].[dP].[dQ].Q.[dF].[dF].G.L.M}$$$$	NULL	CHEMBL407543	BOTH	Protein	0	0
153725	NULL	PEPTIDE1{R.[dP].K.P.[dQ].[dQ].[dF].[dF].G.[dL].M}$$$$	NULL	CHEMBL411746	BOTH	Protein	0	0
153726	NULL	PEPTIDE1{[dR].P.K.P.[dQ].Q.[dF].[dF].G.[dL].M}$$$$	NULL	CHEMBL408830	BOTH	Protein	0	0
153812	NULL	PEPTIDE1{[dR].P.[dK].[dP].[dQ].Q.[dF].F.G.L.M}$$$$	NULL	CHEMBL216898	BOTH	Protein	0	0
153813	NULL	PEPTIDE1{[dR].[dP].[dK].[dP].Q.Q.F.F.G.[dL].M}$$$$	NULL	CHEMBL264126	BOTH	Protein	0	0
153814	NULL	PEPTIDE1{R.P.[dK].[dP].Q.Q.[dF].[dF].G.[dL].M}$$$$	NULL	CHEMBL415122	BOTH	Protein	0	0
153880	NULL	PEPTIDE1{R.P.[dK].P.[dQ].Q.[dF].F.G.[dL].M}$$$$	NULL	CHEMBL437712	BOTH	Protein	0	0
153956	NULL	PEPTIDE1{R.[dP].[dK].P.Q.[dQ].F.[dF].G.L.M}$$$$	NULL	CHEMBL267624	BOTH	Protein	0	0
153957	NULL	PEPTIDE1{[dR].P.[dK].P.Q.Q.[dF].F.G.[dL].M}$$$$	NULL	CHEMBL264011	BOTH	Protein	0	0
153958	NULL	PEPTIDE1{[dR].[dP].[dK].P.Q.[dQ].F.F.G.L.M}$$$$	NULL	CHEMBL407223	BOTH	Protein	0	0
153963	NULL	PEPTIDE1{R.P.[dK].[dP].Q.Q.[dF].[dF].G.L.M}$$$$	NULL	CHEMBL405968	BOTH	Protein	0	0
153964	NULL	PEPTIDE1{R.[dP].K.P.Q.Q.[dF].F.G.L.M}$$$$	NULL	CHEMBL262028	BOTH	Protein	0	0
153965	NULL	PEPTIDE1{[dR].P.K.P.[dQ].Q.F.[dF].G.L.M}$$$$	NULL	CHEMBL269028	BOTH	Protein	0	0
154024	NULL	PEPTIDE1{[ac].[X613].[dF].R.W.[am]}$$$$	NULL	CHEMBL431092	BOTH	Protein	0	0
154025	NULL	PEPTIDE1{[ac].[Thi].[dF].R.W.[am]}$$$$	NULL	CHEMBL330561	BOTH	Protein	0	0
154251	NULL	PEPTIDE1{[ac].D.[X96].[Nle].G.W.[Nle].D.F.[am]}$$$$	NULL	CHEMBL409529	BOTH	Protein	0	0
154252	NULL	PEPTIDE1{[ac].D.[X96].[Nle].[Sar].W.[Nle].D.F.[am]}$$$$	NULL	CHEMBL386682	BOTH	Protein	0	0
154352	NULL	PEPTIDE1{[ac].[dF].[dF].R.W.[am]}$$$$	NULL	CHEMBL329847	BOTH	Protein	0	0
154353	NULL	PEPTIDE1{[ac].[dH].[dF].R.W.[am]}$$$$	NULL	CHEMBL94391	BOTH	Protein	0	0
154632	NULL	PEPTIDE1{[ac].[4-Pal].[dF].R.W.[am]}$$$$	NULL	CHEMBL317968	BOTH	Protein	0	0
154633	NULL	PEPTIDE1{[ac].[3-Pal].[dF].R.W.[am]}$$$$	NULL	CHEMBL317969	BOTH	Protein	0	0
154634	NULL	PEPTIDE1{[ac].[dTic].[dF].R.W.[am]}$$$$	NULL	CHEMBL275303	BOTH	Protein	0	0
154671	NULL	PEPTIDE1{[ac].P.[dF].R.W.[am]}$$$$	NULL	CHEMBL320157	BOTH	Protein	0	0
154736	NULL	PEPTIDE1{[ac].[X28].[Orn].D.I.I.W}$$$$	NULL	CHEMBL94983	BOTH	Protein	0	0
154737	NULL	PEPTIDE1{[ac].[X28].E.D.I.I.W}$$$$	NULL	CHEMBL97470	BOTH	Protein	0	0
154742	NULL	PEPTIDE1{[Cbz_L].F.[X2125]}$$$$	NULL	CHEMBL97601	BOTH	Protein	0	0
154743	NULL	PEPTIDE1{[Cbz_L].F.[X2466]}$$$$	NULL	CHEMBL97497	BOTH	Protein	0	0
154755	NULL	PEPTIDE1{[Cbz_L].F.[X2685]}$$$$	NULL	CHEMBL327370	BOTH	Protein	0	0
154778	NULL	PEPTIDE1{[Cha].G.G.F.T.G.A.R.K.S.A.R.K.[am]}$$$$	NULL	CHEMBL406905	BOTH	Protein	0	0
154779	NULL	PEPTIDE1{[X955].G.F.T.G.A.R.K.S.A.R.K.L.A.N.Q.[am]}$$$$	NULL	CHEMBL414767	BOTH	Protein	0	0
154884	NULL	PEPTIDE1{[ac].F.[dF].R.W.[am]}$$$$	NULL	CHEMBL327479	BOTH	Protein	0	0
154889	NULL	PEPTIDE1{[ac].D.[X535].[Nle].G.W.[Nle].D.F.[am]}$$$$	NULL	CHEMBL414592	BOTH	Protein	0	0
154896	NULL	PEPTIDE1{[ac].D.[X96].[Nle].G.W.[Nle].D.[meF].[am]}$$$$	NULL	CHEMBL217609	BOTH	Protein	0	0
154927	NULL	PEPTIDE1{[ac].D.[X96].[Nle].G.[meW].[Nle].D.F.[am]}$$$$	NULL	CHEMBL269185	BOTH	Protein	0	0
154964	NULL	PEPTIDE1{[X955].G.F.T.G.A.R.K.S.A.R.K.[am]}$$$$	NULL	CHEMBL410396	BOTH	Protein	0	0
154965	NULL	PEPTIDE1{[Phe(4-Me)].G.G.F.T.G.A.R.K.S.A.R.K.[am]}$$$$	NULL	CHEMBL413178	BOTH	Protein	0	0
154986	NULL	PEPTIDE1{[X1450].L.D.I.I.W}$$$$	NULL	CHEMBL407933	BOTH	Protein	0	0
155003	NULL	PEPTIDE1{[ac].D.[X96].[Nle].G.W.[Nle].[meD].F.[am]}$$$$	NULL	CHEMBL217236	BOTH	Protein	0	0
155004	NULL	PEPTIDE1{[ac].D.[X96].[Nle].G.W.[meNle].D.F.[am]}$$$$	NULL	CHEMBL266839	BOTH	Protein	0	0
155015	NULL	PEPTIDE1{[Cbz_L].F.[X2694]}$$$$	NULL	CHEMBL96975	BOTH	Protein	0	0
155068	NULL	PEPTIDE1{[ac].[Nal].[dF].R.W.[am]}$$$$	NULL	CHEMBL94369	BOTH	Protein	0	0
155077	NULL	PEPTIDE1{[Cbz_L].F.[X2326]}$$$$	NULL	CHEMBL328212	BOTH	Protein	0	0
155085	NULL	PEPTIDE1{[ac].[dW].[dF].R.W.[am]}$$$$	NULL	CHEMBL432027	BOTH	Protein	0	0
155086	NULL	PEPTIDE1{[ac].W.[dF].R.W.[am]}$$$$	NULL	CHEMBL432201	BOTH	Protein	0	0
155107	NULL	PEPTIDE1{[X468].L.D.I.I.W}$$$$	NULL	CHEMBL96822	BOTH	Protein	0	0
155108	NULL	PEPTIDE1{[ac].F.L.F.I.I.W}$$$$	NULL	CHEMBL421190	BOTH	Protein	0	0
155123	NULL	PEPTIDE1{[ac].[Tic].[dF].R.W.[am]}$$$$	NULL	CHEMBL96871	BOTH	Protein	0	0
155124	NULL	PEPTIDE1{[ac].[dNal].[dF].R.W.[am]}$$$$	NULL	CHEMBL329490	BOTH	Protein	0	0
155174	NULL	PEPTIDE1{[X28].L.D.I.I.W}$$$$	NULL	CHEMBL319537	BOTH	Protein	0	0
155188	NULL	PEPTIDE1{[ac].A.[dF].R.W.[am]}$$$$	NULL	CHEMBL330233	BOTH	Protein	0	0
155231	NULL	PEPTIDE1{Y.G.G.F.T.G.A.R.K.S.A.R.K.[am]}$$$$	NULL	CHEMBL429363	BOTH	Protein	0	0
155275	NULL	PEPTIDE1{[X8].G.F.T.G.A.R.K.S.A.R.K.[am]}$$$$	NULL	CHEMBL407461	BOTH	Protein	0	0
155294	NULL	PEPTIDE1{[Cbz_L].F.[X2529]}$$$$	NULL	CHEMBL96185	BOTH	Protein	0	0
155304	NULL	PEPTIDE1{[X955].G.F.T.G.A.R.K.[am]}$$$$	NULL	CHEMBL317625	BOTH	Protein	0	0
155305	NULL	PEPTIDE1{[X19].G.G.F.T.G.A.R.K.[am]}$$$$	NULL	CHEMBL96240	BOTH	Protein	0	0
155321	NULL	PEPTIDE1{[Cbz_L].F.[X1045]}$$$$	NULL	CHEMBL97090	BOTH	Protein	0	0
155358	NULL	PEPTIDE1{[ac].[dW].L.R.I.I.W}$$$$	NULL	CHEMBL317341	BOTH	Protein	0	0
155391	NULL	PEPTIDE1{[ac].[X28].L.D.I.F.W}$$$$	NULL	CHEMBL405709	BOTH	Protein	0	0
155392	NULL	PEPTIDE1{[ac].[X28].L.D.I.K.W}$$$$	NULL	CHEMBL431433	BOTH	Protein	0	0
155481	NULL	PEPTIDE1{[X19].G.G.F.T.G.A.R.K.S.A.R.K.[am]}$$$$	NULL	CHEMBL406946	BOTH	Protein	0	0
155482	NULL	PEPTIDE1{[X19].G.G.F.T.G.A.R.K.S.A.R.K.L.A.N.Q.[am]}$$$$	NULL	CHEMBL411621	BOTH	Protein	0	0
155488	NULL	PEPTIDE1{[X837].L.D.I.I.W}$$$$	NULL	CHEMBL433406	BOTH	Protein	0	0
155489	NULL	PEPTIDE1{[dW].L.D.I.I.W}$$$$	NULL	CHEMBL329946	BOTH	Protein	0	0
155496	NULL	PEPTIDE1{[X978].G.F.T.G.A.R.K.S.A.R.K.[am]}$$$$	NULL	CHEMBL414792	BOTH	Protein	0	0
155522	NULL	PEPTIDE1{[X955].G.F.T.G.A.R.K.S.A.R.[am]}$$$$	NULL	CHEMBL263859	BOTH	Protein	0	0
155523	NULL	PEPTIDE1{[X71].G.G.F.T.G.A.R.K.S.A.R.K.[am]}$$$$	NULL	CHEMBL412606	BOTH	Protein	0	0
155524	NULL	PEPTIDE1{[X19].G.G.F.T.G.A.R.K.S.A.R.[am]}$$$$	NULL	CHEMBL428167	BOTH	Protein	0	0
155529	NULL	PEPTIDE1{F.G.G.F.T.G.A.R.K.S.A.R.[am]}$$$$	NULL	CHEMBL413516	BOTH	Protein	0	0
155590	NULL	PEPTIDE1{[dalloI].[dW].[dW].L.[dD].I}$PEPTIDE1,PEPTIDE1,6:R2-1:R1$$$	NULL	CHEMBL329695	BOTH	Protein	0	0
155591	NULL	PEPTIDE1{[ac].F.F.D.I.I.W}$$$$	NULL	CHEMBL317099	BOTH	Protein	0	0
155609	NULL	PEPTIDE1{[X311].L.D.I.I.W}$$$$	NULL	CHEMBL269428	BOTH	Protein	0	0
155611	NULL	PEPTIDE1{[ac].[X28].L.Y.I.I.W}$$$$	NULL	CHEMBL384728	BOTH	Protein	0	0
155612	NULL	PEPTIDE1{[ac].[X28].L.D.A.I.W}$$$$	NULL	CHEMBL94907	BOTH	Protein	0	0
155630	NULL	PEPTIDE1{[dalloI].W.[dF].L.[dD].I}$PEPTIDE1,PEPTIDE1,6:R2-1:R1$$$	NULL	CHEMBL94730	BOTH	Protein	0	0
155631	NULL	PEPTIDE1{[ac].[X28].L.D.I.I.W.[am]}$$$$	NULL	CHEMBL329609	BOTH	Protein	0	0
155651	NULL	PEPTIDE1{[X384].L.D.I.I.W}$$$$	NULL	CHEMBL327590	BOTH	Protein	0	0
155653	NULL	PEPTIDE1{[ac].[X28].L.D.[Cha].I.W}$$$$	NULL	CHEMBL263295	BOTH	Protein	0	0
155654	NULL	PEPTIDE1{[ac].[X28].L.D.V.I.W}$$$$	NULL	CHEMBL319660	BOTH	Protein	0	0
155665	NULL	PEPTIDE1{[ac].[X28].L.D.Y.I.W}$$$$	NULL	CHEMBL385492	BOTH	Protein	0	0
155666	NULL	PEPTIDE1{[ac].[X28].L.D.F.I.W}$$$$	NULL	CHEMBL265116	BOTH	Protein	0	0
155709	NULL	PEPTIDE1{[ac].[X28].L.D.I.E.W}$$$$	NULL	CHEMBL329170	BOTH	Protein	0	0
155753	NULL	PEPTIDE1{[X538].G.F.T.G.A.R.K.S.A.R.K.[am]}$$$$	NULL	CHEMBL407671	BOTH	Protein	0	0
155754	NULL	PEPTIDE1{[X528].G.F.T.G.A.R.K.S.A.R.K.[am]}$$$$	NULL	CHEMBL414963	BOTH	Protein	0	0
155875	NULL	PEPTIDE1{[ac].[X28].[dF].D.I.I.W}$$$$	NULL	CHEMBL411797	BOTH	Protein	0	0
155911	NULL	PEPTIDE1{[X439].G.G.F.T.G.A.R.K.S.A.R.K.[am]}$$$$	NULL	CHEMBL425456	BOTH	Protein	0	0
155912	NULL	PEPTIDE1{[X1258].G.G.F.T.G.A.R.K.S.A.R.K.[am]}$$$$	NULL	CHEMBL438234	BOTH	Protein	0	0
155913	NULL	PEPTIDE1{[X1122].G.G.F.T.G.A.R.K.S.A.R.K.[am]}$$$$	NULL	CHEMBL411168	BOTH	Protein	0	0
155924	NULL	PEPTIDE1{[ac].[X28].L.D.I.L.W}$$$$	NULL	CHEMBL97431	BOTH	Protein	0	0
155941	NULL	PEPTIDE1{A.R.Y.Y.S.A.L.R.H.Y.I.N.L.I.T.R.Q.R.Y.[am]}$$$$	NULL	CHEMBL409167	BOTH	Protein	0	0
155942	NULL	PEPTIDE1{Y.P.S.K.P.D.N.P.G.D.D.A.P.A.E.D.M.A.R.Y.Y.S.A.L.R.H.Y.I.N.L.I.T.R.Q.R.Y.[am]}$$$$	NULL	CHEMBL437091	BOTH	Protein	0	0
155943	NULL	PEPTIDE1{A.R.Y.Y.S.A.L.R.H.Y.I.N.L.I.T.R.Q.R.Y.Y}$$$$	NULL	CHEMBL412075	BOTH	Protein	0	0
155968	NULL	PEPTIDE1{[ac].[X28].L.D.I.V.W}$$$$	NULL	CHEMBL330144	BOTH	Protein	0	0
156017	NULL	PEPTIDE1{[ac].[X28].L.F.I.I.W}$$$$	NULL	CHEMBL216082	BOTH	Protein	0	0
156019	NULL	PEPTIDE1{[ac].[X28].L.E.I.I.W}$$$$	NULL	CHEMBL433349	BOTH	Protein	0	0
156020	NULL	PEPTIDE1{[ac].[X28].L.D.K.I.W}$$$$	NULL	CHEMBL94525	BOTH	Protein	0	0
156021	NULL	PEPTIDE1{[ac].[X28].L.D.E.I.W}$$$$	NULL	CHEMBL318020	BOTH	Protein	0	0
156022	NULL	PEPTIDE1{[ac].[X28].L.A.I.I.W}$$$$	NULL	CHEMBL319719	BOTH	Protein	0	0
156035	NULL	PEPTIDE1{[ac].[X28].L.D.I.I.W}$$$$	NULL	CHEMBL328942	BOTH	Protein	0	0
156137	NULL	PEPTIDE1{[dF].G.A.[X2423]}$PEPTIDE1,PEPTIDE1,4:R2-1:R1$$$	NULL	CHEMBL94308	BOTH	Protein	0	0
156140	NULL	PEPTIDE1{[ac].[Nal].[dPhe(4-Cl)].[d2-Pal].R.[dP].A.[am]}$$$$	NULL	CHEMBL94842	BOTH	Protein	0	0
156141	NULL	PEPTIDE1{[ac].[Nal].[dPhe(4-Cl)].[d2-Pal].A.[dP].A.[am]}$$$$	NULL	CHEMBL264526	BOTH	Protein	0	0
156334	NULL	PEPTIDE1{A.R.Y.Y.S.A.L.R.[dH].Y.I.N.L.I.T.R.Q.R.Y.[am]}$$$$	NULL	CHEMBL414515	BOTH	Protein	0	0
156335	NULL	PEPTIDE1{A.R.Y.Y.S.A.L.[dR].H.Y.I.N.L.I.T.R.Q.R.Y.[am]}$$$$	NULL	CHEMBL263835	BOTH	Protein	0	0
156337	NULL	PEPTIDE1{[ac].F.[dF].[dF].G.[dR].[dP].A.[am]}$$$$	NULL	CHEMBL265010	BOTH	Protein	0	0
156338	NULL	PEPTIDE1{[ac].[Nal].[dF].[dF].G.[dR].[dP].A.[am]}$$$$	NULL	CHEMBL405176	BOTH	Protein	0	0
156380	NULL	PEPTIDE1{A.R.Y.Y.S.A.[dL].R.H.Y.I.N.L.I.T.R.Q.R.Y.[am]}$$$$	NULL	CHEMBL410438	BOTH	Protein	0	0
156470	NULL	PEPTIDE1{[dA].R.Y.Y.S.A.L.R.H.Y.I.N.L.I.T.R.Q.R.Y.[am]}$$$$	NULL	CHEMBL268665	BOTH	Protein	0	0
156471	NULL	PEPTIDE1{A.[dR].Y.Y.S.A.L.R.H.Y.I.N.L.I.T.R.Q.R.Y.[am]}$$$$	NULL	CHEMBL441582	BOTH	Protein	0	0
156481	NULL	PEPTIDE1{A.R.Y.Y.S.A.L.R.H.Y.I.N.L.I.T.R.Q.R.Y}$$$$	NULL	CHEMBL439478	BOTH	Protein	0	0
156482	NULL	PEPTIDE1{A.R.Y.Y.S.A.L.R.H.Y.I.N.L.I.T.[am]}$$$$	NULL	CHEMBL414512	BOTH	Protein	0	0
156483	NULL	PEPTIDE1{A.R.Y.Y.S.A.L.R.H.Y.[am]}$$$$	NULL	CHEMBL267985	BOTH	Protein	0	0
156484	NULL	PEPTIDE1{A.R.Y.Y.S.A.L.R.[am]}$$$$	NULL	CHEMBL264571	BOTH	Protein	0	0
156494	NULL	PEPTIDE1{[ac].[dW].L.D.I.I.W}$$$$	NULL	CHEMBL317064	BOTH	Protein	0	0
156590	NULL	PEPTIDE1{[ac].[Nal].[dPhe(4-Cl)].[d2-Pal].[dA].[dR].[dP].A.[am]}$$$$	NULL	CHEMBL385022	BOTH	Protein	0	0
156824	NULL	PEPTIDE1{[X2322].W.D}$$$$	NULL	CHEMBL317947	BOTH	Protein	0	0
156842	NULL	PEPTIDE1{[ac].[Nal].[dPhe(4-Cl)].[d2-Pal].[Sar].[dR].[dP].A.[am]}$$$$	NULL	CHEMBL428186	BOTH	Protein	0	0
156865	NULL	PEPTIDE1{[X1128].[dF].[dF].G.[dR].[dP].A.[am]}$$$$	NULL	CHEMBL409979	BOTH	Protein	0	0
156866	NULL	PEPTIDE1{[ac].W.[dF].[dF].G.[dR].[dP].A.[am]}$$$$	NULL	CHEMBL410269	BOTH	Protein	0	0
156869	NULL	PEPTIDE1{[ac].[Nal].[dPhe(4-Cl)].[d2-Pal].G.R.[dP].A.[am]}$$$$	NULL	CHEMBL97540	BOTH	Protein	0	0
156874	NULL	PEPTIDE1{[ac].[Nal].[dPhe(4-Cl)].[d2-Pal].G.[dR].[dP].A.[am]}$$$$	NULL	CHEMBL97265	BOTH	Protein	0	0
156886	NULL	PEPTIDE1{[ac].[Nal].[dPhe(4-Cl)].[d2-Pal].A.[dK].[dP].A.[am]}$$$$	NULL	CHEMBL96693	BOTH	Protein	0	0
156887	NULL	PEPTIDE1{[ac].[Nal].[dPhe(4-Cl)].[d2-Pal].A.[dR].[dP].A.[am]}$$$$	NULL	CHEMBL268720	BOTH	Protein	0	0
156888	NULL	PEPTIDE1{[Nal].[dF].[dF].G.[dR].[dP].A.[am]}$$$$	NULL	CHEMBL93608	BOTH	Protein	0	0
156896	NULL	PEPTIDE1{[ac].[1-Nal].[dF].[dF].G.[dR].[dP].A.[am]}$$$$	NULL	CHEMBL330173	BOTH	Protein	0	0
156898	NULL	PEPTIDE1{A.R.Y.Y.S.A.L.[am]}$$$$	NULL	CHEMBL93957	BOTH	Protein	0	0
156914	NULL	PEPTIDE1{A.R.Y.Y.S.A.L.R.H.Y.I.N.L.I.[dT].R.Q.R.Y.[am]}$$$$	NULL	CHEMBL415817	BOTH	Protein	0	0
156915	NULL	PEPTIDE1{A.R.Y.Y.S.A.L.R.H.Y.I.N.L.[dI].T.R.Q.R.Y.[am]}$$$$	NULL	CHEMBL267987	BOTH	Protein	0	0
156916	NULL	PEPTIDE1{[dY].P.A.K.P.E.A.P.G.E.D.A.S.P.E.E.L.S.R.Y.Y.A.S.L.R.H.Y.L.N.L.V.T.R.Q.R.Y.[am]}$$$$	NULL	CHEMBL442497	BOTH	Protein	0	0
156936	NULL	PEPTIDE1{A.R.Y.Y.S.A.L.R.H.Y.I.N.L.I.T.R.Q.[dR].Y.[am]}$$$$	NULL	CHEMBL427774	BOTH	Protein	0	0
156937	NULL	PEPTIDE1{A.R.Y.Y.S.A.L.R.H.Y.I.N.L.I.T.R.[dQ].R.Y.[am]}$$$$	NULL	CHEMBL411310	BOTH	Protein	0	0
156938	NULL	PEPTIDE1{A.R.Y.Y.S.A.L.R.H.Y.I.N.L.I.T.[dR].Q.R.Y.[am]}$$$$	NULL	CHEMBL414975	BOTH	Protein	0	0
156948	NULL	PEPTIDE1{[ac].[Nal].[dPhe(4-Cl)].[d2-Pal].[dK].[dP].A.[am]}$$$$	NULL	CHEMBL318127	BOTH	Protein	0	0
156981	NULL	PEPTIDE1{A.R.F.F.S.A.L.R.H.F.I.N.L.I.T.R.Q.R.F.[am]}$$$$	NULL	CHEMBL441932	BOTH	Protein	0	0
156982	NULL	PEPTIDE1{A.R.Y.Y.S.A.L.R.H.Y.I.N.[dL].I.T.R.Q.R.Y.[am]}$$$$	NULL	CHEMBL427659	BOTH	Protein	0	0
157008	NULL	PEPTIDE1{[ac].[Nal].[dPhe(4-Cl)].[d2-Pal].L.[dR].[dP].A.[am]}$$$$	NULL	CHEMBL428619	BOTH	Protein	0	0
157025	NULL	PEPTIDE1{[ac].[Nal].[dPhe(4-Cl)].[d2-Pal].[dR].[dP].A.[am]}$$$$	NULL	CHEMBL329807	BOTH	Protein	0	0
157026	NULL	PEPTIDE1{[ac].[Nal].[dPhe(4-Cl)].[d2-Pal].G.[dP].A.[am]}$$$$	NULL	CHEMBL327359	BOTH	Protein	0	0
157048	NULL	PEPTIDE1{[ac].[Nal].[dPhe(4-Cl)].[d2-Pal].[dP].[dR].[dP].A.[am]}$$$$	NULL	CHEMBL409218	BOTH	Protein	0	0
157057	NULL	PEPTIDE1{[meA].R.Y.Y.S.A.L.R.H.Y.I.N.L.I.T.R.Q.R.Y.[am]}$$$$	NULL	CHEMBL429720	BOTH	Protein	0	0
157080	NULL	PEPTIDE1{[ac].[Nal].[dPhe(4-Cl)].[d2-Pal].[dL].[dR].[dP].A.[am]}$$$$	NULL	CHEMBL261927	BOTH	Protein	0	0
157105	NULL	PEPTIDE1{A.R.Y.Y.S.A.L.R.H.Y.I.[dN].L.I.T.R.Q.R.Y.[am]}$$$$	NULL	CHEMBL438751	BOTH	Protein	0	0
157143	NULL	PEPTIDE1{[ac].[Nal].[dPhe(4-Cl)].[d2-Pal].A.[X1129].[dP].A.[am]}$$$$	NULL	CHEMBL408737	BOTH	Protein	0	0
157150	NULL	PEPTIDE1{[ac].A.R.Y.Y.S.A.L.R.H.Y.I.N.L.I.T.R.Q.R.Y.[am]}$$$$	NULL	CHEMBL439114	BOTH	Protein	0	0
157199	NULL	PEPTIDE1{A.R.Y.Y.S.[dA].L.R.H.Y.I.N.L.I.T.R.Q.R.Y.[am]}$$$$	NULL	CHEMBL409182	BOTH	Protein	0	0
157200	NULL	PEPTIDE1{A.R.Y.Y.[dS].A.L.R.H.Y.I.N.L.I.T.R.Q.R.Y.[am]}$$$$	NULL	CHEMBL441887	BOTH	Protein	0	0
157201	NULL	PEPTIDE1{A.R.Y.F.S.A.L.R.H.F.I.N.L.I.T.R.Q.R.F.[am]}$$$$	NULL	CHEMBL427920	BOTH	Protein	0	0
